Student,MissingJavadoc,unused,SingleClassImport,CanBeFinal,WrongPackageStatement,MultipleReturnPointsPerMethod,MethodWithMultipleLoops,FieldMayBeFinal,ChainedMethodCall,FeatureEnvy
2,102,71,14,16,11,7,9,10,0,3
4,34,37,40,14,10,5,7,12,4,3
6,51,15,12,12,8,8,9,10,3,9
8,32,15,2,3,4,5,3,0,3,1
9,38,37,4,8,7,5,5,2,2,0
10,23,24,36,10,8,5,3,4,3,0
11,66,17,4,4,8,9,3,0,4,6
12,18,8,7,20,9,8,4,1,4,5
13,33,2,7,12,12,9,7,6,2,7
14,47,28,18,31,11,10,6,0,0,1
18,86,39,38,7,11,18,16,5,4,13
19,46,32,28,11,9,11,8,11,10,0
20,33,18,7,19,8,3,4,6,13,5
22,27,8,5,6,4,3,4,3,0,0
23,34,6,12,2,6,5,5,0,7,8
31,60,30,27,22,7,26,1,2,4,0
32,31,14,9,18,6,8,3,7,5,3
34,24,32,9,11,6,2,5,6,3,0
37,20,9,13,6,5,3,1,0,3,0
38,48,24,28,5,12,12,10,3,4,6
40,8,3,5,8,2,1,1,6,4,0
41,16,14,5,3,5,5,5,2,2,0
44,31,14,9,18,6,8,3,7,5,3
45,19,14,19,3,9,2,2,0,3,0
5,30,31,5,0,3,2,5,0,0,0
Sum,957,542,363,269,187,180,129,103,92,73
